year,area,chapter,gender,value
2002,22UC,VII,M,0
2002,22UC,VII,F,0
2002,22UC,VIII,M,0
2002,22UC,VIII,F,0
2002,22UC,IX,M,253
2002,22UC,IX,F,283
2002,22UC,X,M,92
2002,22UC,X,F,99
2002,22UC,XI,M,14
2002,22UC,XI,F,29
2002,22UC,XII,M,3
2002,22UC,XII,F,2
2002,22UC,XIII,M,4
2002,22UC,XIII,F,9
2002,22UC,XIV,M,8
2002,22UC,XIV,F,18
2002,22UC,XV,F,0
2002,22UC,XVI,M,0
2002,22UC,XVI,F,0
2002,22UC,XVII,M,0
2002,22UC,XVII,F,0
2002,22UC,XVIII,M,11
2002,22UC,XVIII,F,45
2002,22UC,XX,M,15
2002,22UC,XX,F,5
2002,22UD,I,M,2
2002,22UD,I,F,1
2002,22UD,II,M,87
2002,22UD,II,F,95
2002,22UD,III,M,0
2002,22UD,III,F,2
2002,22UD,IV,M,4
2002,22UD,IV,F,7
2002,22UD,V,M,2
2002,22UD,V,F,16
2002,22UD,VI,M,10
2002,22UD,VI,F,16
2002,22UD,VII,M,0
2002,22UD,VII,F,0
2002,22UD,VIII,M,0
2002,22UD,VIII,F,0
2002,22UD,IX,M,109
2002,22UD,IX,F,118
2002,22UD,X,M,39
2002,22UD,X,F,63
2002,22UD,XI,M,10
2002,22UD,XI,F,21
2002,22UD,XII,M,1
2002,22UD,XII,F,1
2002,22UD,XIII,M,2
2002,22UD,XIII,F,7
2002,22UD,XIV,M,8
2002,22UD,XIV,F,8
2002,22UD,XV,F,0
2002,22UD,XVI,M,0
2002,22UD,XVI,F,0
2002,22UD,XVII,M,0
2002,22UD,XVII,F,1
2002,22UD,XVIII,M,6
2002,22UD,XVIII,F,32
2002,22UD,XX,M,9
2002,22UD,XX,F,8
2002,22UE,I,M,2
2002,22UE,I,F,0
2002,22UE,II,M,136
2002,22UE,II,F,136
2002,22UE,III,M,0
2002,22UE,III,F,0
2002,22UE,IV,M,7
2002,22UE,IV,F,6
2002,22UE,V,M,6
2002,22UE,V,F,28
2002,22UE,VI,M,10
2002,22UE,VI,F,12
2002,22UE,VII,M,0
2002,22UE,VII,F,0
2002,22UE,VIII,M,0
2002,22UE,VIII,F,0
2002,22UE,IX,M,193
2002,22UE,IX,F,182
